caseId,term,naturalCourt,petitioner,respondent,jurisdiction,threeJudgeFdc,caseOrigin,caseSource,lcDisagreement,lcDisposition,lcDispositionDirection,partyWinning,issue,issueArea,lawType,lawSupp
1946-001,1946,1301,198.0,172.0,6.0,0.0,51.0,29.0,0.0,2.0,1.0,1.0,80180.0,8.0,6.0,600.0
1946-002,1946,1301,100.0,27.0,1.0,0.0,123.0,30.0,0.0,2.0,1.0,0.0,10500.0,1.0,6.0,600.0
1946-002,1946,1301,100.0,27.0,1.0,0.0,123.0,30.0,0.0,2.0,1.0,0.0,10500.0,1.0,6.0,600.0
1946-002,1946,1301,100.0,27.0,1.0,0.0,123.0,30.0,0.0,2.0,1.0,0.0,10500.0,1.0,6.0,600.0
1946-002,1946,1301,100.0,27.0,1.0,0.0,123.0,30.0,0.0,2.0,1.0,0.0,10500.0,1.0,6.0,600.0
1946-002,1946,1301,100.0,27.0,1.0,0.0,123.0,30.0,0.0,2.0,1.0,0.0,10500.0,1.0,6.0,600.0
1946-002,1946,1301,100.0,27.0,1.0,0.0,123.0,30.0,0.0,2.0,1.0,0.0,10500.0,1.0,6.0,600.0
1946-002,1946,1301,100.0,27.0,1.0,0.0,123.0,30.0,0.0,2.0,1.0,0.0,10500.0,1.0,6.0,600.0
1946-002,1946,1301,100.0,27.0,1.0,0.0,123.0,30.0,0.0,2.0,1.0,0.0,10500.0,1.0,6.0,600.0
1946-003,1946,1301,209.0,27.0,2.0,1.0,107.0,107.0,0.0,-10.0,2.0,0.0,80250.0,8.0,2.0,207.0
1946-003,1946,1301,209.0,27.0,2.0,1.0,107.0,107.0,0.0,-10.0,2.0,0.0,80250.0,8.0,1.0,111.0
1946-003,1946,1301,209.0,27.0,2.0,1.0,107.0,107.0,0.0,-10.0,2.0,0.0,80250.0,8.0,3.0,343.0
1946-004,1946,1301,27.0,170.0,1.0,0.0,3.0,3.0,0.0,-10.0,2.0,0.0,20150.0,2.0,6.0,600.0
1946-005,1946,1301,27.0,176.0,1.0,0.0,3.0,3.0,0.0,-10.0,2.0,1.0,80060.0,8.0,-10.0,-1000.0
1946-006,1946,1301,198.0,4.0,2.0,0.0,302.0,300.0,1.0,3.0,2.0,1.0,80100.0,8.0,1.0,129.0
1946-007,1946,1301,148.0,405.0,1.0,0.0,21.0,21.0,0.0,2.0,2.0,0.0,80120.0,8.0,6.0,600.0
1946-007,1946,1301,148.0,405.0,1.0,0.0,21.0,21.0,0.0,2.0,2.0,0.0,80120.0,8.0,1.0,111.0
1946-007,1946,1301,148.0,405.0,1.0,0.0,21.0,21.0,0.0,2.0,2.0,0.0,80120.0,8.0,2.0,207.0
1946-007,1946,1301,148.0,405.0,1.0,0.0,21.0,21.0,0.0,2.0,2.0,0.0,80120.0,8.0,1.0,100.0
1946-007,1946,1301,148.0,405.0,1.0,0.0,21.0,21.0,0.0,2.0,2.0,0.0,80120.0,8.0,2.0,207.0
1946-007,1946,1301,148.0,405.0,1.0,0.0,21.0,21.0,0.0,2.0,2.0,0.0,80120.0,8.0,1.0,100.0
1946-007,1946,1301,148.0,405.0,1.0,0.0,21.0,21.0,0.0,2.0,2.0,0.0,80120.0,8.0,6.0,600.0
1946-007,1946,1301,148.0,405.0,1.0,0.0,21.0,21.0,0.0,2.0,2.0,0.0,80120.0,8.0,1.0,111.0
1946-008,1946,1301,189.0,189.0,1.0,0.0,54.0,23.0,0.0,5.0,2.0,1.0,90200.0,9.0,6.0,600.0
1946-008,1946,1301,189.0,189.0,1.0,0.0,54.0,23.0,0.0,5.0,2.0,1.0,90200.0,9.0,-10.0,-1000.0
1946-009,1946,1301,4.0,248.0,1.0,0.0,44.0,29.0,1.0,2.0,2.0,1.0,70190.0,7.0,5.0,512.0
1946-010,1946,1301,135.0,114.0,1.0,0.0,73.0,26.0,0.0,3.0,2.0,0.0,80030.0,8.0,3.0,307.0
1946-010,1946,1301,135.0,114.0,1.0,0.0,73.0,26.0,0.0,3.0,2.0,0.0,80030.0,8.0,3.0,307.0
1946-010,1946,1301,135.0,114.0,1.0,0.0,73.0,26.0,0.0,3.0,2.0,0.0,80030.0,8.0,3.0,307.0
1946-010,1946,1301,135.0,114.0,1.0,0.0,73.0,26.0,0.0,3.0,2.0,0.0,80030.0,8.0,3.0,307.0
1946-011,1946,1301,126.0,28.0,1.0,0.0,302.0,300.0,0.0,2.0,1.0,0.0,10120.0,1.0,2.0,214.0
1946-012,1946,1301,100.0,27.0,1.0,0.0,51.0,29.0,1.0,2.0,1.0,1.0,20130.0,2.0,-10.0,-1000.0
1946-013,1946,1301,27.0,137.0,1.0,0.0,92.0,23.0,0.0,3.0,2.0,1.0,10430.0,1.0,6.0,600.0
1946-014,1946,1301,106.0,27.0,1.0,0.0,92.0,23.0,1.0,2.0,1.0,1.0,10400.0,1.0,6.0,600.0
1946-015,1946,1301,338.0,221.0,1.0,0.0,32.0,32.0,1.0,3.0,1.0,1.0,80320.0,8.0,3.0,326.0
1946-016,1946,1301,27.0,166.0,1.0,0.0,86.0,28.0,0.0,2.0,1.0,1.0,40070.0,4.0,6.0,600.0
1946-016,1946,1301,27.0,166.0,1.0,0.0,86.0,28.0,0.0,2.0,1.0,1.0,40070.0,4.0,6.0,600.0
1946-016,1946,1301,27.0,166.0,1.0,0.0,86.0,28.0,0.0,2.0,1.0,1.0,40070.0,4.0,2.0,211.0
1946-017,1946,1301,102.0,19.0,2.0,0.0,302.0,300.0,0.0,3.0,2.0,1.0,80100.0,8.0,1.0,111.0
1946-018,1946,1301,27.0,158.0,1.0,0.0,66.0,27.0,1.0,3.0,1.0,1.0,80170.0,8.0,6.0,600.0
1946-019,1946,1301,369.0,240.0,1.0,0.0,109.0,23.0,0.0,2.0,1.0,1.0,120010.0,12.0,-10.0,-1000.0
1946-020,1946,1301,306.0,142.0,1.0,0.0,92.0,23.0,0.0,4.0,2.0,1.0,30130.0,3.0,3.0,366.0
1946-021,1946,1301,306.0,142.0,1.0,0.0,92.0,23.0,0.0,4.0,2.0,1.0,30130.0,3.0,3.0,366.0
1946-022,1946,1301,382.0,151.0,1.0,0.0,21.0,21.0,0.0,8.0,1.0,1.0,70100.0,7.0,3.0,356.0
1946-023,1946,1301,142.0,27.0,1.0,0.0,115.0,28.0,0.0,2.0,1.0,1.0,30130.0,3.0,3.0,366.0
1946-023,1946,1301,142.0,27.0,1.0,0.0,103.0,26.0,0.0,2.0,1.0,1.0,30130.0,3.0,3.0,366.0
1946-024,1946,1301,28.0,369.0,1.0,0.0,302.0,300.0,0.0,3.0,2.0,0.0,120030.0,12.0,3.0,307.0
1946-024,1946,1301,28.0,369.0,1.0,0.0,302.0,300.0,0.0,3.0,2.0,0.0,120030.0,12.0,3.0,345.0
1946-025,1946,1301,27.0,100.0,1.0,0.0,81.0,26.0,0.0,3.0,2.0,1.0,10430.0,1.0,6.0,600.0
1946-026,1946,1301,172.0,177.0,1.0,0.0,66.0,27.0,0.0,2.0,2.0,0.0,80180.0,8.0,5.0,507.0
1946-026,1946,1301,172.0,177.0,1.0,0.0,66.0,27.0,0.0,2.0,2.0,0.0,80180.0,8.0,5.0,507.0
1946-027,1946,1301,177.0,172.0,6.0,0.0,302.0,300.0,0.0,2.0,1.0,1.0,80180.0,8.0,5.0,507.0
1946-028,1946,1301,25.0,19.0,2.0,0.0,300.0,300.0,0.0,2.0,2.0,0.0,80100.0,8.0,2.0,230.0
1946-028,1946,1301,25.0,19.0,2.0,0.0,300.0,300.0,0.0,2.0,2.0,0.0,80100.0,8.0,1.0,111.0
1946-029,1946,1301,27.0,116.0,2.0,1.0,54.0,54.0,0.0,8.0,1.0,0.0,80230.0,8.0,3.0,343.0
1946-030,1946,1301,245.0,234.0,1.0,0.0,120.0,25.0,1.0,3.0,1.0,1.0,80110.0,8.0,-10.0,-1000.0
1946-031,1946,1301,354.0,119.0,1.0,0.0,55.0,32.0,1.0,3.0,1.0,1.0,80120.0,8.0,6.0,600.0
1946-032,1946,1301,145.0,231.0,1.0,0.0,80.0,21.0,0.0,3.0,1.0,1.0,80040.0,8.0,4.0,400.0
1946-033,1946,1301,126.0,28.0,1.0,0.0,302.0,300.0,0.0,9.0,1.0,0.0,10130.0,1.0,2.0,231.0
1946-033,1946,1301,126.0,28.0,1.0,0.0,302.0,300.0,0.0,9.0,1.0,0.0,10130.0,1.0,2.0,221.0
1946-033,1946,1301,126.0,28.0,1.0,0.0,302.0,300.0,0.0,9.0,1.0,0.0,10130.0,1.0,2.0,206.0
1946-034,1946,1301,166.0,237.0,1.0,0.0,73.0,26.0,1.0,2.0,1.0,0.0,90110.0,9.0,4.0,400.0
1946-035,1946,1301,145.0,116.0,1.0,0.0,109.0,23.0,0.0,3.0,1.0,0.0,50040.0,5.0,4.0,400.0
1946-036,1946,1301,249.0,384.0,1.0,0.0,66.0,27.0,0.0,2.0,2.0,0.0,90320.0,9.0,3.0,363.0
1946-036,1946,1301,384.0,384.0,1.0,0.0,66.0,27.0,0.0,2.0,2.0,0.0,90320.0,9.0,3.0,363.0
1946-037,1946,1301,241.0,389.0,1.0,0.0,10.0,10.0,0.0,9.0,1.0,1.0,90120.0,9.0,6.0,600.0
1946-038,1946,1301,324.0,142.0,1.0,0.0,55.0,32.0,0.0,3.0,2.0,1.0,90120.0,9.0,-10.0,-1000.0
1946-039,1946,1301,171.0,171.0,1.0,0.0,302.0,300.0,0.0,2.0,3.0,1.0,110030.0,11.0,1.0,143.0
1946-040,1946,1301,114.0,28.0,1.0,0.0,92.0,23.0,0.0,3.0,1.0,1.0,80030.0,8.0,1.0,112.0
1946-040,1946,1301,114.0,28.0,1.0,0.0,92.0,23.0,0.0,3.0,1.0,1.0,80030.0,8.0,3.0,307.0
1946-040,1946,1301,114.0,28.0,1.0,0.0,92.0,23.0,0.0,3.0,1.0,1.0,80030.0,8.0,5.0,506.0
1946-041,1946,1301,27.0,241.0,1.0,0.0,3.0,3.0,0.0,-10.0,2.0,1.0,80060.0,8.0,6.0,600.0
1946-042,1946,1301,326.0,231.0,1.0,0.0,55.0,32.0,0.0,3.0,1.0,1.0,80220.0,8.0,6.0,600.0
1946-042,1946,1301,326.0,231.0,1.0,0.0,55.0,32.0,0.0,3.0,1.0,1.0,80220.0,8.0,6.0,600.0
1946-043,1946,1301,195.0,27.0,1.0,0.0,86.0,28.0,0.0,3.0,2.0,0.0,40070.0,4.0,2.0,211.0
1946-043,1946,1301,195.0,27.0,1.0,0.0,86.0,28.0,0.0,3.0,2.0,0.0,40070.0,4.0,2.0,211.0
1946-043,1946,1301,195.0,27.0,1.0,0.0,86.0,28.0,0.0,3.0,2.0,0.0,40070.0,4.0,6.0,600.0
1946-043,1946,1301,195.0,27.0,1.0,0.0,86.0,28.0,0.0,3.0,2.0,0.0,40070.0,4.0,6.0,600.0
1946-043,1946,1301,195.0,27.0,1.0,0.0,86.0,28.0,0.0,3.0,2.0,0.0,40070.0,4.0,6.0,600.0
